date,is_droplet,status,placed_gmv,delivered_gmv,cancelled_gmv,completed_gmv
2024-10-27,Y,delivered,5.1118759146E10,5.936267957E10,0.0,5.936267957E10
2021-04-16,Y,delivered,1.4823306102E10,1.3303888856E10,0.0,1.3303888856E10
2025-04-10,Y,delivered,4.8737968912E10,4.7661231071E10,0.0,4.7661231071E10
2021-07-09,Y,delivered,6.611574112E9,6.278142546E9,0.0,6.278142546E9
2025-03-22,Y,delivered,6.0793246024E10,5.8455687168E10,0.0,5.8455687168E10
2021-09-20,Y,delivered,8.270946288E9,8.530793562E9,0.0,8.530793562E9
2023-01-27,Y,delivered,1.9127503164E10,1.7687637268E10,0.0,1.7687637268E10
2024-05-06,N,cancelled,6.3061514E7,0.0,8.012646E7,8.012646E7
2020-08-08,Y,delivered,2.703986697E9,2.66155008E9,0.0,2.66155008E9
2025-02-02,Y,cancelled,3.8942217E8,0.0,3.90570303E8,3.90570303E8
2020-08-03,Y,delivered,1.395851175E9,1.307219424E9,0.0,1.307219424E9
2024-11-23,Y,delivered,3.7344571096E10,3.6101038784E10,0.0,3.6101038784E10
2023-08-24,Y,delivered,2.5438000206E10,2.4387126192E10,0.0,2.4387126192E10
2021-01-24,Y,delivered,3.568707493E9,3.84239675E9,0.0,3.84239675E9
2021-07-06,N,conducted,7173556.0,6053514.0,0.0,6053514.0
2020-05-07,Y,delivered,3.26757492E8,3.42399024E8,0.0,3.42399024E8
2022-05-18,Y,cancelled,2.7292751E8,0.0,2.902378E8,2.902378E8
2020-04-30,Y,delivered,2.88719704E8,3.357126E8,0.0,3.357126E8
2021-05-21,N,cancelled,1.767524E7,0.0,1.8978346E7,1.8978346E7
2024-04-30,N,cancelled,4.3832605E7,0.0,3.7840463E7,3.7840463E7
2023-05-14,Y,delivered,2.1014752878E10,2.289218629E10,0.0,2.289218629E10
2023-10-01,N,cancelled,7.9965202E7,0.0,7.2881984E7,7.2881984E7
2020-10-06,Y,delivered,4.576393628E9,4.48365048E9,0.0,4.48365048E9
2021-09-10,Y,cancelled,1.46367648E8,0.0,1.35486505E8,1.35486505E8
2023-06-18,Y,cancelled,2.81700832E8,0.0,2.69333078E8,2.69333078E8
2020-12-19,N,delivered,9130913.0,9070299.0,0.0,9070299.0
2021-07-01,Y,cancelled,2.36606654E8,0.0,2.6238729E8,2.6238729E8
2025-02-09,N,cancelled,3.6151832E7,0.0,3.7492746E7,3.7492746E7
2022-06-25,Y,cancelled,4.07586006E8,0.0,4.0833864E8,4.0833864E8
2020-05-28,N,delivered,239008.0,447282.0,0.0,447282.0
2022-03-26,Y,cancelled,2.35820002E8,0.0,2.45447415E8,2.45447415E8
2022-09-28,N,cancelled,4.01256E7,0.0,3.785671E7,3.785671E7
2020-01-13,Y,cancelled,2.4328512E7,0.0,2.1168453E7,2.1168453E7
2023-11-04,Y,cancelled,4.61744836E8,0.0,4.50826604E8,4.50826604E8
2021-02-23,Y,cancelled,8.2489264E7,0.0,9.4548979E7,9.4548979E7
2025-04-27,Y,cancelled,3.84180786E8,0.0,3.76709982E8,3.76709982E8
2025-05-22,N,cancelled,4.4688441E7,0.0,4.1889822E7,4.1889822E7
2024-02-22,N,conducted,1.0785717E7,9008977.0,0.0,9008977.0
2020-09-12,Y,cancelled,1.09283365E8,0.0,1.001754E8,1.001754E8
2023-05-13,N,conducted,6079136.0,5925665.0,0.0,5925665.0
2024-02-20,Y,cancelled,3.60972207E8,0.0,3.68039188E8,3.68039188E8
2022-05-25,N,conducted,4313232.0,4372438.0,0.0,4372438.0
2021-06-22,N,cancelled,2.381625E7,0.0,2.567455E7,2.567455E7
2023-07-08,N,conducted,7953131.0,1.0887585E7,0.0,1.0887585E7
2020-10-19,Y,cancelled,5.9428044E7,0.0,6.3453666E7,6.3453666E7
2020-06-14,N,cancelled,2.6880584E7,0.0,8.3798487E7,8.3798487E7
2022-04-12,N,conducted,5699144.0,5417169.0,0.0,5417169.0
2025-03-28,N,conducted,1.351323E7,1.5869925E7,0.0,1.5869925E7
2020-03-09,N,delivered,495096.0,124470.0,0.0,124470.0
2021-11-05,Y,cancelled,1.27702785E8,0.0,1.148645E8,1.148645E8
2020-11-27,N,delivered,1.0837773E7,9845682.0,0.0,9845682.0
2020-05-29,N,conducted,4091640.0,4941349.0,0.0,4941349.0
2021-07-17,N,conducted,8766720.0,1.1364687E7,0.0,1.1364687E7
2021-03-12,N,conducted,1.3323296E7,8972104.0,0.0,8972104.0
2020-09-05,N,delivered,845892.0,1450204.0,0.0,1450204.0
2025-01-15,N,cancelled,4.2852836E7,0.0,4.3903557E7,4.3903557E7
2022-07-13,N,conducted,3518811.0,3488200.0,0.0,3488200.0
2020-01-27,N,delivered,382492.0,612480.0,0.0,612480.0
2020-05-09,N,cancelled,1.0182834E7,0.0,8765250.0,8765250.0
2022-02-14,N,conducted,5093270.0,5209880.0,0.0,5209880.0
2020-01-23,N,delivered,880850.0,940632.0,0.0,940632.0
2021-12-26,N,cancelled,3011520.0,0.0,2773155.0,2773155.0
2022-02-24,N,cancelled,3597572.0,0.0,3205120.0,3205120.0
2020-04-20,N,delivered,1000.0,4500.0,0.0,4500.0
2020-05-23,N,delivered,551572.0,227872.0,0.0,227872.0
2024-07-04,N,delivered,2320.0,2320.0,0.0,2320.0
2025-02-10,N,validated,4858.0,"","",""
2025-05-22,Y,recollection_required,4827.0,"","",""
2024-10-12,Y,ready_for_dispatch,3251.0,"","",""
2025-01-09,Y,sent_to_lab,899.0,"","",""
2024-12-14,Y,confirmed,958.0,"","",""
2025-05-19,Y,confirmed,19914.0,"","",""
2025-06-01,Y,validated,6345.0,"","",""
2025-04-13,N,confirmed,10000.0,"","",""
2025-01-21,Y,delivered,3.7600435035E10,3.5541438449E10,0.0,3.5541438449E10
2020-02-02,Y,delivered,2.00399732E9,1.936741035E9,0.0,1.936741035E9
2021-09-15,Y,cancelled,1.68763956E8,0.0,1.70614886E8,1.70614886E8
2025-01-20,Y,delivered,3.5001299835E10,3.581458983E10,0.0,3.581458983E10
2023-09-16,Y,delivered,3.8800579957E10,3.6236267552E10,0.0,3.6236267552E10
2023-08-10,Y,delivered,2.5446535422E10,2.5609834536E10,0.0,2.5609834536E10
2024-07-02,Y,delivered,3.404402615E10,3.301820248E10,0.0,3.301820248E10
2020-08-22,Y,delivered,2.810823197E9,2.6294764E9,0.0,2.6294764E9
2023-08-06,Y,cancelled,3.92887215E8,0.0,3.8914528E8,3.8914528E8
2022-02-17,Y,delivered,1.1072775872E10,1.0182434353E10,0.0,1.0182434353E10
2021-05-26,Y,cancelled,4.12061286E8,0.0,4.45060392E8,4.45060392E8
2022-11-23,Y,delivered,1.8373365472E10,1.7395214436E10,0.0,1.7395214436E10
2024-04-16,Y,delivered,2.4271410084E10,2.5881796788E10,0.0,2.5881796788E10
2024-04-28,Y,delivered,2.903029272E10,2.8537231878E10,0.0,2.8537231878E10
2021-09-03,Y,cancelled,2.03952452E8,0.0,1.96769664E8,1.96769664E8
2024-09-29,N,cancelled,4.86576E7,0.0,5.3932056E7,5.3932056E7
2022-07-28,Y,delivered,1.8705854064E10,1.7279755038E10,0.0,1.7279755038E10
2020-04-14,Y,delivered,2.25989394E8,2.25102842E8,0.0,2.25102842E8
2024-07-16,Y,delivered,3.8919133996E10,3.649376002E10,0.0,3.649376002E10
2022-01-15,N,cancelled,2539363.0,0.0,3411600.0,3411600.0
2022-05-24,Y,delivered,1.4172576E10,1.3203488706E10,0.0,1.3203488706E10
2024-01-20,N,cancelled,5.1980922E7,0.0,4.945997E7,4.945997E7
2022-03-28,Y,delivered,7.676115642E9,7.134877596E9,0.0,7.134877596E9
2022-12-01,Y,delivered,1.9705605462E10,1.7268527687E10,0.0,1.7268527687E10
2025-02-13,N,conducted,1.2623942E7,1.58596E7,0.0,1.58596E7
2023-04-13,Y,delivered,2.4461358348E10,2.3457651024E10,0.0,2.3457651024E10
2022-10-07,Y,cancelled,4.8176232E8,0.0,4.5307638E8,4.5307638E8
2021-10-05,Y,delivered,7.687510526E9,7.208047616E9,0.0,7.208047616E9
2020-08-23,Y,cancelled,6.870946E7,0.0,5.8824238E7,5.8824238E7
2021-05-31,Y,cancelled,2.85662203E8,0.0,2.92863792E8,2.92863792E8
2020-07-02,Y,delivered,1.445875156E9,1.564007874E9,0.0,1.564007874E9
2022-10-19,N,cancelled,3.4979812E7,0.0,3.907962E7,3.907962E7
2021-01-27,N,cancelled,1.0830496E7,0.0,1.0753954E7,1.0753954E7
2022-11-14,N,conducted,4196148.0,4798155.0,0.0,4798155.0
2024-01-16,Y,cancelled,2.55283894E8,0.0,2.1973725E8,2.1973725E8
2021-01-09,N,cancelled,1.4216543E7,0.0,1.3939094E7,1.3939094E7
2020-05-26,Y,cancelled,2.6870625E7,0.0,2.3124192E7,2.3124192E7
2025-03-18,N,cancelled,5.1206351E7,0.0,5.6953267E7,5.6953267E7
2022-07-02,N,cancelled,9.2816708E7,0.0,8.370664E7,8.370664E7
2021-04-20,N,conducted,1.849749E7,1.7786692E7,0.0,1.7786692E7
2023-05-11,N,cancelled,1.52847545E8,0.0,9.4064124E7,9.4064124E7
2020-12-20,N,cancelled,6964272.0,0.0,6933870.0,6933870.0
2020-05-11,N,delivered,144746.0,23065.0,0.0,23065.0
2021-03-02,Y,cancelled,1.4266231E8,0.0,1.31309455E8,1.31309455E8
2020-05-16,N,conducted,3135950.0,4539854.0,0.0,4539854.0
2024-06-08,N,cancelled,9.714656E7,0.0,9.3137312E7,9.3137312E7
2023-06-29,N,cancelled,3.117543E7,0.0,2.9651534E7,2.9651534E7
2022-06-23,Y,cancelled,3.00511068E8,0.0,2.6495826E8,2.6495826E8
2025-05-26,N,cancelled,4.2162216E7,0.0,3.8517642E7,3.8517642E7
2020-12-12,N,cancelled,3.2165414E7,0.0,2.9269394E7,2.9269394E7
2025-04-08,N,conducted,1.3726524E7,1.477242E7,0.0,1.477242E7
2022-08-29,N,conducted,5774428.0,4460304.0,0.0,4460304.0
2021-04-13,N,cancelled,1.8902555E7,0.0,1.4510048E7,1.4510048E7
2022-12-12,N,conducted,9270408.0,8708280.0,0.0,8708280.0
2024-03-13,N,conducted,8041462.0,6782391.0,0.0,6782391.0
2021-09-30,N,conducted,6524112.0,6399300.0,0.0,6399300.0
2020-04-12,N,cancelled,3737840.0,0.0,4170950.0,4170950.0
2022-08-25,N,conducted,5990592.0,6209003.0,0.0,6209003.0
2023-11-29,N,conducted,6112914.0,5684000.0,0.0,5684000.0
2023-10-24,N,cancelled,4.0295675E7,0.0,4.3052975E7,4.3052975E7
2022-06-27,N,conducted,7941024.0,6657820.0,0.0,6657820.0
2020-02-18,N,conducted,8434440.0,1.1776813E7,0.0,1.1776813E7
2020-07-18,N,conducted,4444931.0,4159980.0,0.0,4159980.0
2023-03-11,N,conducted,6038190.0,8406045.0,0.0,8406045.0
2020-09-10,N,delivered,1669875.0,3944730.0,0.0,3944730.0
2021-04-18,N,delivered,6296.0,"","",""
2025-05-29,Y,booked,2130.0,"","",""
2024-07-31,Y,report_hold,8680.0,"","",""
2025-03-07,Y,recollection_required,5670.0,"","",""
2025-03-22,Y,recollection_required,1878.0,"","",""
2024-11-21,N,booked,3239.0,"","",""
2022-07-23,Y,delivered,2.2358021735E10,2.059380631E10,0.0,2.059380631E10
2022-10-28,Y,delivered,1.9093159624E10,1.8174860009E10,0.0,1.8174860009E10
2023-04-02,Y,delivered,2.5999408665E10,2.6309707552E10,0.0,2.6309707552E10
2024-11-25,Y,delivered,3.2114095272E10,3.152113785E10,0.0,3.152113785E10
2025-02-05,Y,delivered,4.1797844817E10,4.1943760384E10,0.0,4.1943760384E10
2020-10-27,Y,delivered,3.045814536E9,2.819488497E9,0.0,2.819488497E9
2025-01-07,Y,delivered,3.845479165E10,3.9995459592E10,0.0,3.9995459592E10
2021-02-10,Y,delivered,3.86781084E9,4.026254912E9,0.0,4.026254912E9
2022-10-01,Y,delivered,1.9520978672E10,1.9476312976E10,0.0,1.9476312976E10
2023-02-03,Y,cancelled,5.3401325E8,0.0,5.653395E8,5.653395E8
2024-10-15,Y,cancelled,5.66287644E8,0.0,5.81288127E8,5.81288127E8
2022-06-18,N,cancelled,2.07488604E8,0.0,1.95180128E8,1.95180128E8
2021-06-01,N,conducted,3.9249903E7,4.5581696E7,0.0,4.5581696E7
2025-05-07,Y,cancelled,4.06192847E8,0.0,4.14336888E8,4.14336888E8
2024-04-17,Y,cancelled,2.48097014E8,0.0,2.5527568E8,2.5527568E8
2020-09-04,Y,cancelled,7.7957445E7,0.0,7.7804055E7,7.7804055E7
2025-05-11,Y,cancelled,4.56969E8,0.0,4.24151488E8,4.24151488E8
2021-09-04,Y,cancelled,1.94945868E8,0.0,1.789029E8,1.789029E8
2020-11-21,Y,delivered,3.436085203E9,2.994052488E9,0.0,2.994052488E9
2024-09-12,Y,cancelled,5.94139987E8,0.0,5.62606296E8,5.62606296E8
2022-08-13,N,cancelled,1.04746482E8,0.0,1.13542065E8,1.13542065E8
2022-06-18,Y,cancelled,3.80361366E8,0.0,4.05654368E8,4.05654368E8
2020-07-27,Y,cancelled,6.189064E7,0.0,6.3874404E7,6.3874404E7
2020-10-14,Y,cancelled,6.9886666E7,0.0,8.4640416E7,8.4640416E7
2023-09-10,Y,cancelled,4.1346392E8,0.0,4.31022776E8,4.31022776E8
2022-08-14,Y,cancelled,4.11326311E8,0.0,4.18412946E8,4.18412946E8
2022-05-19,N,cancelled,7304928.0,0.0,7476464.0,7476464.0
2020-08-24,Y,cancelled,5.3557825E7,0.0,5.5518939E7,5.5518939E7
2021-12-01,N,conducted,7183624.0,6322010.0,0.0,6322010.0
2020-12-08,N,cancelled,5.5121876E7,0.0,6.237582E7,6.237582E7
2020-11-23,N,conducted,4890186.0,5577316.0,0.0,5577316.0
2024-10-30,N,conducted,2839230.0,3378309.0,0.0,3378309.0
2024-11-26,Y,cancelled,3.30665304E8,0.0,3.76450792E8,3.76450792E8
2025-03-27,N,cancelled,5.777433E7,0.0,8.8673268E7,8.8673268E7
2022-05-13,Y,cancelled,2.18789259E8,0.0,2.294184E8,2.294184E8
2020-09-21,N,cancelled,3.4017652E7,0.0,3.2331408E7,3.2331408E7
2024-05-23,N,conducted,4420032.0,4895910.0,0.0,4895910.0
2024-12-20,N,cancelled,3.4869946E7,0.0,4.1511632E7,4.1511632E7
2023-03-13,N,cancelled,3.925005E7,0.0,4.3286299E7,4.3286299E7
2020-09-03,Y,cancelled,7.63792E7,0.0,8.0261535E7,8.0261535E7
2025-05-31,N,confirmed,5652234.0,7300992.0,0.0,7300992.0
2021-09-11,N,cancelled,7625070.0,0.0,8339301.0,8339301.0
2020-05-18,N,cancelled,1.978964E7,0.0,1.0988562E7,1.0988562E7
2020-01-11,N,cancelled,7298624.0,0.0,3633057.0,3633057.0
2021-12-05,N,conducted,5735142.0,6412588.0,0.0,6412588.0
2022-11-26,N,conducted,9731444.0,8401613.0,0.0,8401613.0
2021-09-03,N,cancelled,9601004.0,0.0,1.2978048E7,1.2978048E7
2020-09-26,N,conducted,7665280.0,7859330.0,0.0,7859330.0
2025-01-05,N,cancelled,3.7335266E7,0.0,3.313596E7,3.313596E7
2020-03-15,N,conducted,5666706.0,6557252.0,0.0,6557252.0
2023-09-20,N,conducted,4642704.0,5375104.0,0.0,5375104.0
2020-02-02,N,delivered,223770.0,196872.0,0.0,196872.0
2020-07-31,N,conducted,2200198.0,1875720.0,0.0,1875720.0
2025-04-27,N,conducted,2677680.0,4138904.0,0.0,4138904.0
2023-10-21,N,conducted,1.0261275E7,7027228.0,0.0,7027228.0
2020-02-14,N,delivered,632922.0,932000.0,0.0,932000.0
2020-01-29,N,delivered,2080766.0,982842.0,0.0,982842.0
2022-04-02,N,conducted,7144956.0,6922914.0,0.0,6922914.0
2021-02-21,N,delivered,9990.0,21380.0,0.0,21380.0
2020-04-11,N,delivered,599.0,9000.0,0.0,9000.0
2025-06-07,N,conducted,"",1150.0,0.0,1150.0
2024-10-12,Y,report_hold,16953.0,"","",""
2024-12-18,N,booked,699.0,"","",""
2025-03-20,Y,confirmed,2495.0,"","",""
2024-08-09,N,booked,899.0,"","",""
2024-12-21,Y,confirmed,159.0,"","",""
2021-03-24,N,delivered,7390.0,"","",""
2024-09-19,Y,report_hold,16869.0,"","",""
2025-05-09,Y,report_hold,14226.0,"","",""
2025-04-05,Y,confirmed,2040.0,"","",""
2024-10-04,Y,confirmed,1870.0,"","",""
2024-12-14,Y,report_hold,19808.0,"","",""
2022-08-02,Y,delivered,2.5091767971E10,2.357731978E10,0.0,2.357731978E10
2022-02-08,Y,delivered,1.0744480061E10,1.138167559E10,0.0,1.138167559E10
2024-07-31,Y,delivered,3.4431692768E10,3.193652412E10,0.0,3.193652412E10
